Country,Total Deaths,Active Cases,"Serious, Critical",population
USA,498203,9462875,18928,332219743
India,15584,136845,8944,1388493775
Brazil,239895,821576,8318,213506238
Russia,80979,393681,23,145973809
UK,117396,1740041,2943,68109692
France,82226,3144785,3381,65364250
Spain,65449,660128,4128,46766165
Italy,93835,398098,2089,60405870
Turkey,27562,84131,1232,84906624
Germany,65949,139527,3736,83952162
Colombia,57786,50296,3482,51222084
Argentina,50327,145288,3538,45455366
Mexico,174657,265312,4798,129780035
Poland,41028,203202,1274,37820527
Iran,59117,164096,3696,84664515
South Africa,48094,5366,5460,59775850
Ukraine,24542,129108,1770,43568038
Peru,4388,45254,208,33258582
Indonesia,33596,160689,0,275332632
Czechia,1843,102475,113,10721464
Netherlands,14843,0,5360,17158690
Canada,21311,35684,6220,37949332
Portugal,15411,102794,7840,10177984
Chile,19624,22791,1558,19218945
Romania,19526,34467,9430,19156721
Belgium,21702,666889,3070,11621276
Israel,5423,5518,9620,9197590
Iraq,13192,2699,2810,40783134
Sweden,12428,0,2180,10138745
Pakistan,1238,25383,1648,223561342
Philippines,11524,28926,8070,110491896
Switzerland,9792,478,2240,8694279
Bangladesh,8298,44515,2200,165715946
Morocco,8491,10555,3030,37183996
Austria,826,13971,2580,9038624
Serbia,4245,386429,1420,8715193
Japan,6952,23733,6580,126232590
Hungary,13837,77012,3180,9644905
Saudi Arabia,6438,2682,4720,35152014
UAE,1041,13725,4700,9965079
Jordan,4473,16858,1500,10266509
Lebanon,4037,91738,9410,6806180
Panama,5642,13254,2020,4357125
Slovakia,6063,18333,6150,5461305
Nepal,2055,1587,600,29463188
Belarus,1867,8997,800,9447368
Malaysia,9830,44129,2530,32625039
Ecuador,15355,21969,4860,17810180
Georgia,3377,3857,3000,3984347
Croatia,5357,1959,840,4089298
Bolivia,11234,46853,710,11772439
Azerbaijan,3185,2201,300,10196386
Bulgaria,9671,235,2890,6915430
Dominican Republic,2959,49458,2560,10915969
Tunisia,7575,32444,3160,11895971
Ireland,3948,18309,1550,4972272
Denmark,2301,5733,680,5805008
Kazakhstan,254,15514,2210,18917072
Costa Rica,273,3396,1790,5123235
Lithuania,3095,12891,1280,2698244
Slovenia,3733,12111,1270,2079118
Kuwait,1009,10724,1380,4309979
Egypt,1005,29027,900,103535858
Greece,6152,12958,3010,10390958
Moldova,3661,8883,2810,4028060
Armenia,315,4893,0,2966723
Palestine,1936,9303,630,5175039
Guatemala,615,6787,50,18121905
Honduras,3893,93744,4160,10002836
Qatar,2560,9244,990,2807805
Ethiopia,2209,1667,3070,116729905
Nigeria,1761,22158,100,209308636
Paraguay,2953,206,2330,7187283
Myanmar,319,7982,0,54638416
Oman,1544,6842,420,5187151
Venezuela,1285,6727,1100,28385198
Libya,2042,14698,1000,6929633
Bosnia and Herzegovina,4916,16083,920,3267946
Bahrain,4060,74,580,1738036
Algeria,2943,31783,420,44344177
Kenya,1795,15969,340,54507183
North Macedonia,2998,6143,1310,2083320
Albania,1567,34547,370,2875820
China,4636,605,100,1439323776
Kyrgyzstan,1444,1729,500,6591291
S. Korea,1534,824,1660,51296923
Uzbekistan,6220,870,1530,33771913
Latvia,1486,10761,970,1873014
Ghana,5420,785,1060,31476203
Sri Lanka,4030,5596,0,21469596
Zambia,9590,6027,3180,18702674
Montenegro,8990,8591,680,628116
Norway,5930,4647,180,5447794
Singapore,290,140,10,5879162
El Salvador,1758,3577,490,6506736
Afghanistan,2428,4598,1022,39472882
Estonia,5080,10533,350,1327096
Luxembourg,6110,2537,130,632327
Finland,7200,10327,270,5546129
Mozambique,5470,18197,0,31797510
Uruguay,5410,5333,810,3481288
Uganda,3310,25187,0,46633270
Cuba,2690,4959,700,11322267
Namibia,3890,1575,140,2569561
Zimbabwe,141,3053,30,14997944
Cyprus,2220,30347,250,1212866
Cameroon,4790,201,250,26955699
Senegal,7600,5031,630,17017350
Ivory Coast,1750,1614,140,26783437
Malawi,9580,14028,40,19436366
Australia,9090,1868,200,25684828
Sudan,1858,3613,0,44484845
Botswana,2260,3683,10,2381160
Thailand,820,1141,10,69909994
DRC,6950,8184,0,91244471
Angola,4930,1004,70,33497948
Malta,2970,2316,180,442282
Madagascar,2920,391,160,28132322
Jamaica,3780,6292,210,2969278
French Polynesia,1350,13316,60,281926
Maldives,580,2335,1780,546475
Rwanda,2390,212,100,13151365
Mauritania,4300,301,140,4725396
Eswatini,6340,3635,670,1167678
French Guiana,800,6381,110,303481
Guinea,850,380,240,13353431
Syria,9810,5171,0,17764431
Cabo Verde,1390,382,230,559763
Mayotte,810,10625,290,276899
Tajikistan,900,0,0,9670706
Gabon,750,104,220,2258333
Haiti,2470,2591,0,11489389
Belize,3130,194,20,402123
Burkina Faso,1380,513,0,21258227
R̩union,470,811,170,899316
Hong Kong,1940,371,220,7535074
Andorra,1070,466,150,77343
Lesotho,2430,7021,0,2152886
Guadeloupe,1560,6953,50,400167
Suriname,1670,402,60,589922
Congo,1230,1277,0,5602341
Bahamas,1780,1202,10,395595
Mali,3420,1693,0,20611734
Guyana,1860,647,70,788933
Trinidad and Tobago,1380,157,20,1402334
Aruba,680,272,110,107051
Martinique,450,641,30,375082
Nicaragua,1710,1951,0,6673813
Iceland,290,24,80,342631
Djibouti,630,56,0,996966
Togo,810,794,0,8399172
South Sudan,790,1755,70,11275754
Equatorial Guinea,870,181,10,1431433
Somalia,1540,1369,0,16167729
Benin,620,1017,0,12319989
CAR,630,48,20,4882084
Niger,1690,378,30,24746317
Cura̤ao,220,59,20,164514
Gambia,1380,375,10,2458695
Gibraltar,870,67,80,33685
Channel Islands,850,207,40,174866
Sierra Leone,790,1166,0,8077871
Chad,1310,351,0,16717519
Comoros,1320,315,0,881115
San Marino,720,252,40,33976
Guinea-Bissau,460,414,30,1996872
Eritrea,70,645,0,3577064
Liechtenstein,530,17,20,38197
Saint Lucia,230,718,20,184154
Mongolia,20,654,50,3311206
New Zealand,260,46,0,5002100
Vietnam,350,703,0,97886833
Barbados,240,605,10,287596
Yemen,6170,98,230,30234093
Sint Maarten,270,58,10,4318
Seychelles,90,444,0,98729
Liberia,850,130,20,5131472
Turks and Caicos,130,310,80,39044
Burundi,30,1073,0,12109773
Monaco,210,208,80,39416
Sao Tome and Principe,190,357,0,221693
St. Vincent Grenadines,60,848,20,111161
Saint Martin,120,346,70,39077
Taiwan,90,69,0,23843862
Papua New Guinea,90,59,0,9052517
Bhutan,10,9,0,776921
Diamond Princess,130,0,0,1120
Bermuda,120,4,30,62133
Faeroe Islands,10,2,0,4898
Mauritius,100,37,0,1273094
Tanzania,210,305,70,60787171
Cambodia,0,10,0,16863417
St. Barth,10,207,0,9896
Antigua and Barbuda,90,229,10,98437
Isle of Man,250,3,0,85315
Cayman Islands,20,36,10,66204
Caribbean Netherlands,30,113,0,26376
Brunei,30,4,0,4401
Grenada,10,1,0,11285
Dominica,0,13,0,72098
British Virgin Islands,10,18,0,30357
Timor-Leste,0,40,0,1334075
Fiji,20,0,0,900515
Falkland Islands,0,15,0,3543
New Caledonia,0,3,0,287216
Macao,0,2,0,654862
Laos,0,4,0,7341445
Saint Kitts and Nevis,0,2,0,53435
Greenland,0,0,0,56832
Vatican City,0,12,0,802
Saint Pierre Miquelon,0,8,0,5776
Montserrat,10,6,0,4994
Anguilla,0,2,0,15087
Solomon Islands,0,4,0,697334
Western Sahara,10,1,0,606449
MS Zaandam,20,0,0,76804
Wallis and Futuna,0,4,0,11114
Marshall Islands,0,0,0,5944
Samoa,0,1,0,19924
Micronesia,0,0,0,115777
Vanuatu,0,0,0,311601
